rut;pregunta_id;alternativa_dada
15-1752861555147;4;C
16-1752861555148;4;C
17-1752861555149;4;C
18-1752861555150;4;C
19-1752861555151;4;B
20-1752861555152;4;C
21-1752861555153;4;C
22-1752861555154;4;C
23-1752861555156;4;C
24-1752861555157;4;D
25-1752861555159;4;C
26-1752861555161;4;C
27-1752861555162;4;D
28-1752861555164;4;
29-1752861555166;4;C
30-1752861555168;4;C
31-1752861555170;4;C
32-1752861555172;4;A
33-1752861555172;4;C
34-1752861555173;4;C
35-1752861555174;4;C
36-1752861555176;4;C
37-1752861555178;4;A
38-1752861555179;4;A
1-1752861555107;5;C
2-1752861555116;5;C
3-1752861555120;5;C
4-1752861555124;5;C
5-1752861555128;5;C
6-1752861555130;5;C
7-1752861555131;5;B
8-1752861555132;5;C
9-1752861555133;5;C
10-1752861555135;5;C
11-1752861555137;5;C
12-1752861555140;5;C
13-1752861555143;5;C
14-1752861555145;5;C
15-1752861555147;5;C
16-1752861555148;5;C
17-1752861555149;5;C
18-1752861555150;5;C
19-1752861555151;5;
20-1752861555152;5;C
21-1752861555153;5;C
22-1752861555154;5;C
23-1752861555156;5;C
24-1752861555157;5;C
25-1752861555159;5;C
26-1752861555161;5;D
27-1752861555162;5;C
28-1752861555164;5;C
29-1752861555166;5;C
30-1752861555168;5;C
31-1752861555170;5;A
32-1752861555172;5;A
33-1752861555172;5;C
34-1752861555173;5;C
35-1752861555174;5;D
36-1752861555176;5;A
37-1752861555178;5;C
38-1752861555179;5;B
1-1752861555107;6;D
2-1752861555116;6;D
3-1752861555120;6;D
4-1752861555124;6;D
5-1752861555128;6;D
6-1752861555130;6;D
7-1752861555131;6;D
8-1752861555132;6;D
9-1752861555133;6;C
10-1752861555135;6;D
11-1752861555137;6;D
12-1752861555140;6;D
13-1752861555143;6;D
14-1752861555145;6;D
15-1752861555147;6;D
16-1752861555148;6;D
17-1752861555149;6;D
18-1752861555150;6;D
19-1752861555151;6;D
20-1752861555152;6;D
21-1752861555153;6;D
22-1752861555154;6;D
23-1752861555156;6;D
24-1752861555157;6;D
25-1752861555159;6;D
26-1752861555161;6;C
27-1752861555162;6;D
28-1752861555164;6;D
29-1752861555166;6;A
30-1752861555168;6;B
31-1752861555170;6;D
32-1752861555172;6;D
33-1752861555172;6;B
34-1752861555173;6;B
35-1752861555174;6;A
36-1752861555176;6;A
37-1752861555178;6;D
38-1752861555179;6;
1-1752861555107;7;D
2-1752861555116;7;D
3-1752861555120;7;D
4-1752861555124;7;D
5-1752861555128;7;D
6-1752861555130;7;D
7-1752861555131;7;D
8-1752861555132;7;D
9-1752861555133;7;D
10-1752861555135;7;D
11-1752861555137;7;D
12-1752861555140;7;D
13-1752861555143;7;D
14-1752861555145;7;D
15-1752861555147;7;D
16-1752861555148;7;D
17-1752861555149;7;B
18-1752861555150;7;D
19-1752861555151;7;D
20-1752861555152;7;D
21-1752861555153;7;D
22-1752861555154;7;D
23-1752861555156;7;D
24-1752861555157;7;D
25-1752861555159;7;A
26-1752861555161;7;D
27-1752861555162;7;D
28-1752861555164;7;D
29-1752861555166;7;D
30-1752861555168;7;A
31-1752861555170;7;D
32-1752861555172;7;A
33-1752861555172;7;D
34-1752861555173;7;A
35-1752861555174;7;A
36-1752861555176;7;A
37-1752861555178;7;A
38-1752861555179;7;A
1-1752861555107;8;B
2-1752861555116;8;B
3-1752861555120;8;B
4-1752861555124;8;B
5-1752861555128;8;B
6-1752861555130;8;B
7-1752861555131;8;B
8-1752861555132;8;B
9-1752861555133;8;B
10-1752861555135;8;B
11-1752861555137;8;B
12-1752861555140;8;D
13-1752861555143;8;D
14-1752861555145;8;B
15-1752861555147;8;B
16-1752861555148;8;D
17-1752861555149;8;B
18-1752861555150;8;B
19-1752861555151;8;B
20-1752861555152;8;B
21-1752861555153;8;D
22-1752861555154;8;B
23-1752861555156;8;B
24-1752861555157;8;B
25-1752861555159;8;B
26-1752861555161;8;B
27-1752861555162;8;B
28-1752861555164;8;B
29-1752861555166;8;B
30-1752861555168;8;B
31-1752861555170;8;B
32-1752861555172;8;D
33-1752861555172;8;A
34-1752861555173;8;B
35-1752861555174;8;D
36-1752861555176;8;D
37-1752861555178;8;C
38-1752861555179;8;A
1-1752861555107;9;C
2-1752861555116;9;C
3-1752861555120;9;C
4-1752861555124;9;C
5-1752861555128;9;C
6-1752861555130;9;C
7-1752861555131;9;C
8-1752861555132;9;C
9-1752861555133;9;C
10-1752861555135;9;C
11-1752861555137;9;C
12-1752861555140;9;C
13-1752861555143;9;B
14-1752861555145;9;C
15-1752861555147;9;C
16-1752861555148;9;C
17-1752861555149;9;C
18-1752861555150;9;C
19-1752861555151;9;B
20-1752861555152;9;A
21-1752861555153;9;C
22-1752861555154;9;B
23-1752861555156;9;C
24-1752861555157;9;B
25-1752861555159;9;C
26-1752861555161;9;C
27-1752861555162;9;B
28-1752861555164;9;C
29-1752861555166;9;C
30-1752861555168;9;C
31-1752861555170;9;B
32-1752861555172;9;B
33-1752861555172;9;C
34-1752861555173;9;C
35-1752861555174;9;C
36-1752861555176;9;B
37-1752861555178;9;B
38-1752861555179;9;C
1-1752861555107;10;C
2-1752861555116;10;C
3-1752861555120;10;C
4-1752861555124;10;C
5-1752861555128;10;C
6-1752861555130;10;C
7-1752861555131;10;C
8-1752861555132;10;C
9-1752861555133;10;C
10-1752861555135;10;C
11-1752861555137;10;D
12-1752861555140;10;C
13-1752861555143;10;C
14-1752861555145;10;D
15-1752861555147;10;C
16-1752861555148;10;C
17-1752861555149;10;C
18-1752861555150;10;D
19-1752861555151;10;
20-1752861555152;10;C
21-1752861555153;10;C
22-1752861555154;10;
23-1752861555156;10;C
24-1752861555157;10;C
25-1752861555159;10;C
26-1752861555161;10;C
27-1752861555162;10;C
28-1752861555164;10;C
29-1752861555166;10;C
30-1752861555168;10;C
31-1752861555170;10;C
32-1752861555172;10;C
33-1752861555172;10;D
34-1752861555173;10;D
35-1752861555174;10;C
36-1752861555176;10;D
37-1752861555178;10;A
38-1752861555179;10;A
1-1752861555107;11;B
2-1752861555116;11;B
3-1752861555120;11;B
4-1752861555124;11;B
5-1752861555128;11;B
6-1752861555130;11;B
7-1752861555131;11;B
8-1752861555132;11;B
9-1752861555133;11;B
10-1752861555135;11;B
11-1752861555137;11;B
12-1752861555140;11;B
13-1752861555143;11;B
14-1752861555145;11;D
15-1752861555147;11;B
16-1752861555148;11;B
17-1752861555149;11;B
18-1752861555150;11;B
19-1752861555151;11;B
20-1752861555152;11;C
21-1752861555153;11;B
22-1752861555154;11;A
23-1752861555156;11;B
24-1752861555157;11;B
25-1752861555159;11;B
26-1752861555161;11;B
27-1752861555162;11;B
28-1752861555164;11;
29-1752861555166;11;B
30-1752861555168;11;B
31-1752861555170;11;B
32-1752861555172;11;A
33-1752861555172;11;D
34-1752861555173;11;D
35-1752861555174;11;B
36-1752861555176;11;D
37-1752861555178;11;D
38-1752861555179;11;
1-1752861555107;12;C
2-1752861555116;12;C
3-1752861555120;12;C
4-1752861555124;12;C
5-1752861555128;12;C
6-1752861555130;12;C
7-1752861555131;12;C
8-1752861555132;12;C
9-1752861555133;12;C
10-1752861555135;12;C
11-1752861555137;12;C
12-1752861555140;12;C
13-1752861555143;12;C
14-1752861555145;12;C
15-1752861555147;12;C
16-1752861555148;12;A
17-1752861555149;12;A
18-1752861555150;12;C
19-1752861555151;12;C
20-1752861555152;12;C
21-1752861555153;12;A
22-1752861555154;12;D
23-1752861555156;12;C
24-1752861555157;12;C
25-1752861555159;12;C
26-1752861555161;12;C
27-1752861555162;12;C
28-1752861555164;12;A
29-1752861555166;12;C
30-1752861555168;12;A
31-1752861555170;12;D
32-1752861555172;12;C
33-1752861555172;12;B
34-1752861555173;12;C
35-1752861555174;12;A
36-1752861555176;12;C
37-1752861555178;12;B
38-1752861555179;12;A
1-1752861555107;13;D
2-1752861555116;13;C
3-1752861555120;13;D
4-1752861555124;13;D
5-1752861555128;13;D
6-1752861555130;13;D
7-1752861555131;13;D
8-1752861555132;13;D
9-1752861555133;13;D
10-1752861555135;13;D
11-1752861555137;13;D
12-1752861555140;13;D
13-1752861555143;13;D
14-1752861555145;13;D
15-1752861555147;13;D
16-1752861555148;13;D
17-1752861555149;13;D
18-1752861555150;13;D
19-1752861555151;13;D
20-1752861555152;13;
21-1752861555153;13;A
22-1752861555154;13;D
23-1752861555156;13;D
24-1752861555157;13;D
25-1752861555159;13;C
26-1752861555161;13;D
27-1752861555162;13;D
28-1752861555164;13;A
29-1752861555166;13;C
30-1752861555168;13;A
31-1752861555170;13;C
32-1752861555172;13;A
33-1752861555172;13;D
34-1752861555173;13;D
35-1752861555174;13;C
36-1752861555176;13;A
37-1752861555178;13;C
38-1752861555179;13;D
1-1752861555107;14;D
2-1752861555116;14;D
3-1752861555120;14;D
4-1752861555124;14;D
5-1752861555128;14;D
6-1752861555130;14;D
7-1752861555131;14;D
8-1752861555132;14;D
9-1752861555133;14;D
10-1752861555135;14;D
11-1752861555137;14;D
12-1752861555140;14;D
13-1752861555143;14;D
14-1752861555145;14;D
15-1752861555147;14;A
16-1752861555148;14;D
17-1752861555149;14;D
18-1752861555150;14;B
19-1752861555151;14;D
20-1752861555152;14;D
21-1752861555153;14;D
22-1752861555154;14;D
23-1752861555156;14;D
24-1752861555157;14;D
25-1752861555159;14;D
26-1752861555161;14;C
27-1752861555162;14;D
28-1752861555164;14;C
29-1752861555166;14;C
30-1752861555168;14;D
31-1752861555170;14;B
32-1752861555172;14;B
33-1752861555172;14;A
34-1752861555173;14;A
35-1752861555174;14;D
36-1752861555176;14;B
37-1752861555178;14;A
38-1752861555179;14;C
1-1752861555107;15;B
2-1752861555116;15;B
3-1752861555120;15;B
4-1752861555124;15;B
5-1752861555128;15;D
6-1752861555130;15;B
7-1752861555131;15;B
8-1752861555132;15;B
9-1752861555133;15;B
10-1752861555135;15;
11-1752861555137;15;B
12-1752861555140;15;B
13-1752861555143;15;B
14-1752861555145;15;B
15-1752861555147;15;B
16-1752861555148;15;B
17-1752861555149;15;B
18-1752861555150;15;C
19-1752861555151;15;
20-1752861555152;15;B
21-1752861555153;15;B
22-1752861555154;15;B
23-1752861555156;15;B
24-1752861555157;15;B
25-1752861555159;15;
26-1752861555161;15;B
27-1752861555162;15;C
28-1752861555164;15;B
29-1752861555166;15;B
30-1752861555168;15;B
31-1752861555170;15;D
32-1752861555172;15;A
33-1752861555172;15;B
34-1752861555173;15;D
35-1752861555174;15;D
36-1752861555176;15;D
37-1752861555178;15;B
38-1752861555179;15;
1-1752861555107;16;C
2-1752861555116;16;C
3-1752861555120;16;C
4-1752861555124;16;C
5-1752861555128;16;C
6-1752861555130;16;C
7-1752861555131;16;C
8-1752861555132;16;C
9-1752861555133;16;C
10-1752861555135;16;B
11-1752861555137;16;C
12-1752861555140;16;A
13-1752861555143;16;B
14-1752861555145;16;B
15-1752861555147;16;B
16-1752861555148;16;C
17-1752861555149;16;C
18-1752861555150;16;C
19-1752861555151;16;C
20-1752861555152;16;C
21-1752861555153;16;C
22-1752861555154;16;D
23-1752861555156;16;D
24-1752861555157;16;D
25-1752861555159;16;C
26-1752861555161;16;C
27-1752861555162;16;C
28-1752861555164;16;C
29-1752861555166;16;D
30-1752861555168;16;C
31-1752861555170;16;C
32-1752861555172;16;B
33-1752861555172;16;B
34-1752861555173;16;C
35-1752861555174;16;C
36-1752861555176;16;A
37-1752861555178;16;B
38-1752861555179;16;B
1-1752861555107;17;B
2-1752861555116;17;B
3-1752861555120;17;B
4-1752861555124;17;D
5-1752861555128;17;B
6-1752861555130;17;B
7-1752861555131;17;B
8-1752861555132;17;A
9-1752861555133;17;A
10-1752861555135;17;D
11-1752861555137;17;B
12-1752861555140;17;A
13-1752861555143;17;B
14-1752861555145;17;C
15-1752861555147;17;D
16-1752861555148;17;B
17-1752861555149;17;A
18-1752861555150;17;D
19-1752861555151;17;B
20-1752861555152;17;
21-1752861555153;17;B
22-1752861555154;17;B
23-1752861555156;17;C
24-1752861555157;17;D
25-1752861555159;17;B
26-1752861555161;17;B
27-1752861555162;17;C
28-1752861555164;17;B
29-1752861555166;17;B
30-1752861555168;17;B
31-1752861555170;17;B
32-1752861555172;17;B
33-1752861555172;17;B
34-1752861555173;17;B
35-1752861555174;17;A
36-1752861555176;17;B
37-1752861555178;17;A
38-1752861555179;17;A
1-1752861555107;18;D
2-1752861555116;18;D
3-1752861555120;18;D
4-1752861555124;18;B
5-1752861555128;18;B
6-1752861555130;18;D
7-1752861555131;18;D
8-1752861555132;18;D
9-1752861555133;18;D
10-1752861555135;18;D
11-1752861555137;18;A
12-1752861555140;18;B
13-1752861555143;18;D
14-1752861555145;18;A
15-1752861555147;18;D
16-1752861555148;18;D
17-1752861555149;18;D
18-1752861555150;18;A
19-1752861555151;18;A
20-1752861555152;18;A
21-1752861555153;18;D
22-1752861555154;18;D
23-1752861555156;18;A
24-1752861555157;18;B
25-1752861555159;18;D
26-1752861555161;18;B
27-1752861555162;18;D
28-1752861555164;18;D
29-1752861555166;18;A
30-1752861555168;18;D
31-1752861555170;18;D
32-1752861555172;18;D
33-1752861555172;18;B
34-1752861555173;18;D
35-1752861555174;18;B
36-1752861555176;18;D
37-1752861555178;18;A
38-1752861555179;18;A
1-1752861555107;19;C
2-1752861555116;19;C
3-1752861555120;19;C
4-1752861555124;19;C
5-1752861555128;19;D
6-1752861555130;19;A
7-1752861555131;19;B
8-1752861555132;19;C
9-1752861555133;19;A
10-1752861555135;19;C
11-1752861555137;19;C
12-1752861555140;19;C
13-1752861555143;19;C
14-1752861555145;19;C
15-1752861555147;19;A
16-1752861555148;19;B
17-1752861555149;19;C
18-1752861555150;19;C
19-1752861555151;19;C
20-1752861555152;19;D
21-1752861555153;19;B
22-1752861555154;19;C
23-1752861555156;19;C
24-1752861555157;19;C
25-1752861555159;19;A
26-1752861555161;19;D
27-1752861555162;19;B
28-1752861555164;19;C
29-1752861555166;19;B
30-1752861555168;19;C
31-1752861555170;19;C
32-1752861555172;19;C
33-1752861555172;19;B
34-1752861555173;19;B
35-1752861555174;19;D
36-1752861555176;19;D
37-1752861555178;19;A
38-1752861555179;19;A
1-1752861555107;20;D
2-1752861555116;20;D
3-1752861555120;20;D
4-1752861555124;20;D
5-1752861555128;20;D
6-1752861555130;20;B
7-1752861555131;20;A
8-1752861555132;20;D
9-1752861555133;20;D
10-1752861555135;20;D
11-1752861555137;20;C
12-1752861555140;20;D
13-1752861555143;20;D
14-1752861555145;20;D
15-1752861555147;20;D
16-1752861555148;20;A
17-1752861555149;20;A
18-1752861555150;20;
19-1752861555151;20;
20-1752861555152;20;D
21-1752861555153;20;A
22-1752861555154;20;
23-1752861555156;20;A
24-1752861555157;20;A
25-1752861555159;20;B
26-1752861555161;20;D
27-1752861555162;20;C
28-1752861555164;20;D
29-1752861555166;20;D
30-1752861555168;20;D
31-1752861555170;20;D
32-1752861555172;20;D
33-1752861555172;20;A
34-1752861555173;20;D
35-1752861555174;20;B
36-1752861555176;20;B
37-1752861555178;20;A
38-1752861555179;20;C
1-1752861555107;21;B
2-1752861555116;21;B
3-1752861555120;21;A
4-1752861555124;21;B
5-1752861555128;21;B
6-1752861555130;21;B
7-1752861555131;21;B
8-1752861555132;21;A
9-1752861555133;21;B
10-1752861555135;21;B
11-1752861555137;21;B
12-1752861555140;21;B
13-1752861555143;21;D
14-1752861555145;21;B
15-1752861555147;21;B
16-1752861555148;21;B
17-1752861555149;21;C
18-1752861555150;21;D
19-1752861555151;21;D
20-1752861555152;21;B
21-1752861555153;21;B
22-1752861555154;21;A
23-1752861555156;21;A
24-1752861555157;21;A
25-1752861555159;21;B
26-1752861555161;21;D
27-1752861555162;21;A
28-1752861555164;21;C
29-1752861555166;21;C
30-1752861555168;21;
31-1752861555170;21;D
32-1752861555172;21;A
33-1752861555172;21;B
34-1752861555173;21;A
35-1752861555174;21;D
36-1752861555176;21;A
37-1752861555178;21;A
38-1752861555179;21;A
1-1752861555107;22;D
2-1752861555116;22;D
3-1752861555120;22;D
4-1752861555124;22;D
5-1752861555128;22;D
6-1752861555130;22;D
7-1752861555131;22;D
8-1752861555132;22;A
9-1752861555133;22;A
10-1752861555135;22;D
11-1752861555137;22;D
12-1752861555140;22;A
13-1752861555143;22;A
14-1752861555145;22;D
15-1752861555147;22;D
16-1752861555148;22;B
17-1752861555149;22;A
18-1752861555150;22;B
19-1752861555151;22;D
20-1752861555152;22;D
21-1752861555153;22;B
22-1752861555154;22;D
23-1752861555156;22;A
24-1752861555157;22;A
25-1752861555159;22;B
26-1752861555161;22;A
27-1752861555162;22;A
28-1752861555164;22;A
29-1752861555166;22;A
30-1752861555168;22;
31-1752861555170;22;A
32-1752861555172;22;D
33-1752861555172;22;D
34-1752861555173;22;A
35-1752861555174;22;D
36-1752861555176;22;B
37-1752861555178;22;A
38-1752861555179;22;A
1-1752861555107;23;C
2-1752861555116;23;C
3-1752861555120;23;B
4-1752861555124;23;B
5-1752861555128;23;C
6-1752861555130;23;D
7-1752861555131;23;B
8-1752861555132;23;C
9-1752861555133;23;D
10-1752861555135;23;B
11-1752861555137;23;B
12-1752861555140;23;B
13-1752861555143;23;B
14-1752861555145;23;C
15-1752861555147;23;B
16-1752861555148;23;B
17-1752861555149;23;C
18-1752861555150;23;C
19-1752861555151;23;C
20-1752861555152;23;B
21-1752861555153;23;B
22-1752861555154;23;D
23-1752861555156;23;C
24-1752861555157;23;B
25-1752861555159;23;C
26-1752861555161;23;C
27-1752861555162;23;C
28-1752861555164;23;B
29-1752861555166;23;C
30-1752861555168;23;A
31-1752861555170;23;A
32-1752861555172;23;B
33-1752861555172;23;A
34-1752861555173;23;D
35-1752861555174;23;A
36-1752861555176;23;A
37-1752861555178;23;A
38-1752861555179;23;C
1-1752861555107;24;B
2-1752861555116;24;D
3-1752861555120;24;A
4-1752861555124;24;B
5-1752861555128;24;B
6-1752861555130;24;B
7-1752861555131;24;B
8-1752861555132;24;
9-1752861555133;24;B
10-1752861555135;24;C
11-1752861555137;24;C
12-1752861555140;24;B
13-1752861555143;24;B
14-1752861555145;24;C
15-1752861555147;24;D
16-1752861555148;24;C
17-1752861555149;24;D
18-1752861555150;24;B
19-1752861555151;24;B
20-1752861555152;24;D
21-1752861555153;24;C
22-1752861555154;24;C
23-1752861555156;24;A
24-1752861555157;24;B
25-1752861555159;24;D
26-1752861555161;24;A
27-1752861555162;24;D
28-1752861555164;24;D
29-1752861555166;24;D
30-1752861555168;24;
31-1752861555170;24;A
32-1752861555172;24;D
33-1752861555172;24;A
34-1752861555173;24;D
35-1752861555174;24;C
36-1752861555176;24;A
37-1752861555178;24;A
38-1752861555179;24;
